run,xign,yign,fuel,slp,asp,ws,wd,m1,m10,m100,cc,ch,cbh,cbd,lhc,lwc,firearea
51,684.8,-83.1,185,33,58,13.4,182.1,3.0,4.0,5.0,0,0,0,0,120.0,150.0,1361.3
52,423.8,388.8,147,14,110,7.6,82.5,12.0,13.0,14.0,0,0,0,0,90.0,120.0,1889.9
53,558.6,448.9,188,21,15,15.6,346.1,9.0,10.0,11.0,0,0,0,0,120.0,150.0,947.0
54,-1.4,873.2,103,35,154,30.9,107.8,9.0,10.0,11.0,0,0,0,0,90.0,120.0,854.0
55,-448.0,436.4,204,34,121,2.8,35.1,3.0,4.0,5.0,0,0,0,0,120.0,150.0,3401.7
56,-227.3,122.2,203,37,148,15.6,149.8,6.0,7.0,8.0,0,0,0,0,60.0,90.0,1024.6
57,-12.7,924.4,142,13,202,18.5,59.3,12.0,13.0,14.0,0,0,0,0,30.0,60.0,364.5
58,-255.3,-475.2,122,16,80,17.2,168.0,6.0,7.0,8.0,0,0,0,0,30.0,60.0,2224.6
59,-824.6,261.1,146,30,235,15.7,245.4,3.0,4.0,5.0,0,0,0,0,90.0,120.0,1291.7
60,195.0,-687.1,104,20,93,11.8,109.7,3.0,4.0,5.0,0,0,0,0,90.0,120.0,2859.3
61,409.8,-300.4,202,4,299,17.9,209.4,12.0,13.0,14.0,0,0,0,0,60.0,90.0,1091.5
62,801.6,-506.3,149,26,123,7.3,188.4,9.0,10.0,11.0,0,0,0,0,60.0,90.0,3417.5
63,210.4,707.1,123,13,174,23.3,62.8,9.0,10.0,11.0,0,0,0,0,90.0,120.0,640.3
64,478.6,-719.3,148,40,243,0.8,149.4,12.0,13.0,14.0,0,0,0,0,30.0,60.0,1854.3
65,305.8,662.6,183,16,352,27.6,278.9,6.0,7.0,8.0,0,0,0,0,30.0,60.0,186.1
66,63.5,453.6,142,15,62,29.5,144.1,3.0,4.0,5.0,0,0,0,0,90.0,120.0,403.4
67,85.3,-72.3,109,28,67,7.0,170.9,3.0,4.0,5.0,0,0,0,0,120.0,150.0,1182.2
68,353.8,-550.1,165,29,300,4.9,218.8,3.0,4.0,5.0,0,0,0,0,120.0,150.0,1017.7
69,863.3,35.1,185,9,76,9.8,74.6,3.0,4.0,5.0,0,0,0,0,60.0,90.0,1726.2
70,-934.8,329.2,162,0,312,16.8,74.5,6.0,7.0,8.0,0,0,0,0,60.0,90.0,569.6
71,-22.6,-751.3,164,28,90,23.2,32.4,9.0,10.0,11.0,0,0,0,0,60.0,90.0,461.7
72,612.4,-706.2,201,39,263,30.3,243.1,12.0,13.0,14.0,0,0,0,0,90.0,120.0,382.3
73,-465.1,-87.9,109,0,335,9.4,289.9,9.0,10.0,11.0,0,0,0,0,30.0,60.0,0.9
74,797.6,-130.0,165,10,233,8.6,20.1,3.0,4.0,5.0,0,0,0,0,30.0,60.0,2179.5
75,-804.3,-446.3,181,9,350,2.1,49.0,3.0,4.0,5.0,0,0,0,0,90.0,120.0,42.0
76,-502.5,890.6,161,39,336,12.1,132.2,12.0,13.0,14.0,0,0,0,0,30.0,60.0,752.1
77,82.1,-383.5,182,33,300,15.5,233.3,12.0,13.0,14.0,0,0,0,0,120.0,150.0,147.7
78,416.0,-636.6,163,12,102,27.0,148.8,6.0,7.0,8.0,0,0,0,0,30.0,60.0,2362.1
79,152.1,866.1,181,36,135,28.0,232.2,6.0,7.0,8.0,0,0,0,0,60.0,90.0,113.0
80,835.5,-741.5,161,18,278,11.9,99.6,6.0,7.0,8.0,0,0,0,0,30.0,60.0,1211.2
81,-436.6,14.6,188,36,348,24.1,0.4,9.0,10.0,11.0,0,0,0,0,90.0,120.0,488.4
82,-841.1,940.4,161,26,269,8.9,291.5,9.0,10.0,11.0,0,0,0,0,60.0,90.0,465.0
83,-769.7,-762.5,163,24,345,1.7,13.3,12.0,13.0,14.0,0,0,0,0,120.0,150.0,548.0
84,-378.3,-770.8,201,15,149,3.5,336.9,6.0,7.0,8.0,0,0,0,0,30.0,60.0,538.0
85,-650.7,-348.9,202,35,186,25.7,270.6,9.0,10.0,11.0,0,0,0,0,60.0,90.0,1105.3
86,-407.3,959.6,109,9,211,23.9,161.2,3.0,4.0,5.0,0,0,0,0,60.0,90.0,3419.5
87,-575.3,387.9,181,27,11,21.4,227.8,3.0,4.0,5.0,0,0,0,0,30.0,60.0,169.2
88,8.1,580.1,147,32,153,4.5,319.7,12.0,13.0,14.0,0,0,0,0,90.0,120.0,1250.7
89,840.3,744.1,185,7,206,7.8,178.1,6.0,7.0,8.0,0,0,0,0,90.0,120.0,520.4
90,799.0,104.4,182,26,138,29.1,89.9,3.0,4.0,5.0,0,0,0,0,30.0,60.0,380.1
91,-118.0,-275.7,161,10,84,11.3,193.2,6.0,7.0,8.0,0,0,0,0,90.0,120.0,61.4
92,634.9,-347.1,145,25,5,4.4,328.6,9.0,10.0,11.0,0,0,0,0,60.0,90.0,3404.0
93,-343.7,165.0,163,7,323,7.4,345.0,3.0,4.0,5.0,0,0,0,0,60.0,90.0,3285.9
94,457.9,-879.1,106,41,187,8.0,44.2,12.0,13.0,14.0,0,0,0,0,30.0,60.0,3419.5
95,918.3,-367.8,145,41,346,10.7,50.2,9.0,10.0,11.0,0,0,0,0,30.0,60.0,1682.4
96,720.2,-891.2,108,11,230,11.3,189.4,12.0,13.0,14.0,0,0,0,0,90.0,120.0,3114.6
97,780.4,288.0,104,32,274,30.8,307.7,12.0,13.0,14.0,0,0,0,0,30.0,60.0,2030.2
98,-385.7,-713.9,164,5,91,27.7,283.2,12.0,13.0,14.0,0,0,0,0,60.0,90.0,0.2
99,-35.7,-512.9,107,33,196,24.8,45.6,12.0,13.0,14.0,0,0,0,0,60.0,90.0,1829.2
100,916.9,-744.4,203,20,290,16.2,229.1,6.0,7.0,8.0,0,0,0,0,90.0,120.0,1307.0
101,331.1,225.5,202,12,172,3.8,204.5,9.0,10.0,11.0,0,0,0,0,30.0,60.0,1736.9
102,-95.2,-543.4,164,27,233,7.3,357.9,9.0,10.0,11.0,0,0,0,0,30.0,60.0,1731.6
103,-15.7,691.8,121,37,13,16.1,212.2,6.0,7.0,8.0,0,0,0,0,120.0,150.0,16.5
104,381.5,435.0,183,21,201,26.4,122.7,12.0,13.0,14.0,0,0,0,0,90.0,120.0,241.1
105,-882.2,261.4,104,3,184,23.3,162.5,12.0,13.0,14.0,0,0,0,0,120.0,150.0,87.4
106,-869.2,-289.7,184,18,193,30.3,265.4,9.0,10.0,11.0,0,0,0,0,30.0,60.0,418.8
107,-778.2,-540.6,145,26,174,0.8,198.7,6.0,7.0,8.0,0,0,0,0,60.0,90.0,3419.5
108,95.1,231.8,105,0,222,28.2,18.6,6.0,7.0,8.0,0,0,0,0,30.0,60.0,3059.3
109,-301.9,712.0,141,29,246,3.2,166.4,12.0,13.0,14.0,0,0,0,0,120.0,150.0,26.9
110,-215.9,187.8,146,13,70,0.0,97.0,12.0,13.0,14.0,0,0,0,0,120.0,150.0,1708.9
111,-729.2,-284.1,145,4,190,8.1,137.3,9.0,10.0,11.0,0,0,0,0,60.0,90.0,3330.6
112,-730.9,512.3,201,9,161,11.3,108.4,3.0,4.0,5.0,0,0,0,0,90.0,120.0,722.6
113,-484.9,127.2,145,2,46,22.4,27.9,12.0,13.0,14.0,0,0,0,0,30.0,60.0,1771.1
114,-138.5,235.9,121,34,32,23.4,126.9,3.0,4.0,5.0,0,0,0,0,60.0,90.0,712.3
115,222.8,872.4,141,24,149,21.8,234.7,12.0,13.0,14.0,0,0,0,0,90.0,120.0,105.6
116,369.0,-844.4,101,34,94,16.6,318.3,9.0,10.0,11.0,0,0,0,0,30.0,60.0,1561.7
117,-725.0,-562.3,105,41,223,1.3,29.5,3.0,4.0,5.0,0,0,0,0,30.0,60.0,3419.5
118,703.4,-449.8,107,22,173,30.4,120.1,6.0,7.0,8.0,0,0,0,0,90.0,120.0,3287.4
119,-551.3,449.9,162,40,234,21.1,211.4,3.0,4.0,5.0,0,0,0,0,120.0,150.0,759.9
120,-547.9,-275.5,181,16,281,14.2,282.5,9.0,10.0,11.0,0,0,0,0,90.0,120.0,76.7
121,-410.8,-538.8,186,40,67,2.9,193.8,9.0,10.0,11.0,0,0,0,0,120.0,150.0,508.6
122,660.3,557.9,185,28,268,0.3,194.8,3.0,4.0,5.0,0,0,0,0,60.0,90.0,698.8
123,710.9,-886.7,188,26,245,27.6,269.3,6.0,7.0,8.0,0,0,0,0,120.0,150.0,261.3
124,838.6,-558.8,147,7,353,1.9,137.7,9.0,10.0,11.0,0,0,0,0,120.0,150.0,3396.6
125,-153.3,318.2,146,21,188,25.2,228.2,3.0,4.0,5.0,0,0,0,0,60.0,90.0,1201.4
126,132.4,-15.2,103,34,7,10.2,102.1,12.0,13.0,14.0,0,0,0,0,90.0,120.0,1913.3
127,-532.5,-25.7,147,8,139,22.0,177.7,3.0,4.0,5.0,0,0,0,0,30.0,60.0,2230.8
128,347.2,-655.2,188,33,265,2.1,171.8,9.0,10.0,11.0,0,0,0,0,30.0,60.0,681.4
129,-853.9,169.0,182,16,132,15.8,45.1,9.0,10.0,11.0,0,0,0,0,60.0,90.0,141.2
130,-140.4,931.2,149,21,314,4.7,172.2,9.0,10.0,11.0,0,0,0,0,120.0,150.0,1175.1
131,336.0,-275.9,143,42,73,19.5,193.6,9.0,10.0,11.0,0,0,0,0,120.0,150.0,306.2
132,339.5,-428.5,162,8,154,20.2,5.5,6.0,7.0,8.0,0,0,0,0,30.0,60.0,739.9
133,-41.9,-180.6,106,3,136,20.5,144.0,3.0,4.0,5.0,0,0,0,0,120.0,150.0,20.5
134,2.8,-103.0,124,17,153,10.5,283.7,6.0,7.0,8.0,0,0,0,0,30.0,60.0,3401.5
135,425.4,-470.2,204,22,5,12.3,26.9,12.0,13.0,14.0,0,0,0,0,120.0,150.0,1978.2
136,-280.7,63.8,105,18,132,11.2,159.0,6.0,7.0,8.0,0,0,0,0,30.0,60.0,3419.5
137,411.7,-493.5,164,12,343,30.1,175.0,6.0,7.0,8.0,0,0,0,0,30.0,60.0,1353.3
138,752.6,-542.5,189,40,126,6.1,151.1,12.0,13.0,14.0,0,0,0,0,120.0,150.0,1084.6
139,-842.0,194.5,183,13,18,2.0,244.7,3.0,4.0,5.0,0,0,0,0,120.0,150.0,116.8
140,951.8,85.0,141,28,71,26.5,142.2,6.0,7.0,8.0,0,0,0,0,60.0,90.0,911.4
141,670.3,26.9,183,9,195,2.4,188.1,3.0,4.0,5.0,0,0,0,0,120.0,150.0,151.0
142,-482.3,721.0,188,3,352,10.5,180.9,6.0,7.0,8.0,0,0,0,0,30.0,60.0,684.3
143,-349.5,-405.3,164,5,265,20.1,302.5,6.0,7.0,8.0,0,0,0,0,120.0,150.0,1008.1
144,-826.3,404.9,188,30,16,26.4,3.6,9.0,10.0,11.0,0,0,0,0,30.0,60.0,606.5
145,-189.4,-617.5,204,16,256,13.3,284.3,12.0,13.0,14.0,0,0,0,0,120.0,150.0,2287.1
146,17.7,-785.0,184,32,261,11.0,181.4,12.0,13.0,14.0,0,0,0,0,90.0,120.0,381.2
147,246.2,-221.3,121,43,217,18.7,311.1,6.0,7.0,8.0,0,0,0,0,90.0,120.0,554.2
148,-514.2,640.9,144,45,108,7.3,286.5,6.0,7.0,8.0,0,0,0,0,30.0,60.0,2116.3
149,-230.6,408.3,183,10,98,2.6,297.6,9.0,10.0,11.0,0,0,0,0,60.0,90.0,37.6
150,431.7,-346.6,183,3,135,5.3,161.0,9.0,10.0,11.0,0,0,0,0,60.0,90.0,94.3
151,823.6,-107.3,142,42,232,11.6,127.0,9.0,10.0,11.0,0,0,0,0,30.0,60.0,382.7
152,-329.6,161.6,146,0,62,27.3,195.2,9.0,10.0,11.0,0,0,0,0,60.0,90.0,1104.0
153,-400.2,464.6,124,43,294,26.0,276.0,9.0,10.0,11.0,0,0,0,0,60.0,90.0,2055.6
154,45.1,-176.9,147,0,202,6.5,193.6,3.0,4.0,5.0,0,0,0,0,120.0,150.0,3163.3
155,368.2,425.5,109,26,47,30.3,145.8,12.0,13.0,14.0,0,0,0,0,90.0,120.0,2907.8
156,274.7,-709.5,188,17,64,18.3,126.3,6.0,7.0,8.0,0,0,0,0,60.0,90.0,1136.7
157,-914.9,-903.1,122,13,127,24.3,275.7,9.0,10.0,11.0,0,0,0,0,60.0,90.0,1297.0
158,-877.7,-266.0,101,14,63,29.6,216.0,12.0,13.0,14.0,0,0,0,0,30.0,60.0,2331.8
159,-657.9,734.9,102,19,193,2.5,163.8,12.0,13.0,14.0,0,0,0,0,60.0,90.0,2015.3
160,284.7,454.0,202,25,26,26.4,243.7,12.0,13.0,14.0,0,0,0,0,60.0,90.0,566.4
161,329.2,-639.6,146,12,150,5.8,105.0,3.0,4.0,5.0,0,0,0,0,60.0,90.0,3419.5
162,78.9,62.2,161,8,60,4.8,238.3,12.0,13.0,14.0,0,0,0,0,90.0,120.0,14.2
163,-311.9,-940.7,147,28,236,10.2,275.7,9.0,10.0,11.0,0,0,0,0,120.0,150.0,1345.0
164,820.0,-66.0,101,40,143,9.8,297.1,3.0,4.0,5.0,0,0,0,0,60.0,90.0,2273.1
165,616.5,-26.7,163,24,291,20.4,342.2,3.0,4.0,5.0,0,0,0,0,60.0,90.0,933.8
166,-380.6,-798.1,102,36,164,11.7,311.2,9.0,10.0,11.0,0,0,0,0,60.0,90.0,3408.9
167,270.8,923.8,161,4,234,15.7,166.9,9.0,10.0,11.0,0,0,0,0,60.0,90.0,175.9
168,945.9,116.5,141,44,300,4.5,182.4,12.0,13.0,14.0,0,0,0,0,30.0,60.0,213.5
169,-291.0,-20.0,122,2,317,20.3,62.0,12.0,13.0,14.0,0,0,0,0,120.0,150.0,401.9
170,-198.8,-949.6,108,3,254,20.6,181.8,3.0,4.0,5.0,0,0,0,0,90.0,120.0,2860.9
171,560.9,875.0,145,31,5,19.4,101.2,3.0,4.0,5.0,0,0,0,0,60.0,90.0,2373.6
172,62.0,406.1,141,32,170,9.6,270.3,6.0,7.0,8.0,0,0,0,0,30.0,60.0,636.5
173,543.5,959.7,164,6,276,9.7,268.0,3.0,4.0,5.0,0,0,0,0,90.0,120.0,1110.9
174,131.8,-867.0,165,19,113,16.5,163.6,9.0,10.0,11.0,0,0,0,0,90.0,120.0,1208.3
175,-221.8,-230.2,188,25,40,20.1,39.1,6.0,7.0,8.0,0,0,0,0,90.0,120.0,572.4
176,728.5,407.6,148,14,198,2.7,120.6,6.0,7.0,8.0,0,0,0,0,60.0,90.0,2957.4
177,567.7,226.0,144,35,207,17.3,41.5,9.0,10.0,11.0,0,0,0,0,30.0,60.0,3121.1
178,-53.4,-959.5,104,16,203,16.0,242.4,6.0,7.0,8.0,0,0,0,0,30.0,60.0,0.2
179,-83.4,-470.5,162,32,303,26.1,48.6,9.0,10.0,11.0,0,0,0,0,90.0,120.0,511.3
180,-216.6,-198.4,184,43,5,25.1,50.6,9.0,10.0,11.0,0,0,0,0,30.0,60.0,250.0
181,675.9,173.0,141,38,349,6.2,282.6,12.0,13.0,14.0,0,0,0,0,30.0,60.0,530.4
182,207.5,806.5,144,14,101,2.6,289.6,6.0,7.0,8.0,0,0,0,0,120.0,150.0,246.4
183,-123.7,-225.3,203,9,46,25.5,184.8,3.0,4.0,5.0,0,0,0,0,90.0,120.0,1921.3
184,-341.5,-100.7,121,17,212,3.4,90.3,12.0,13.0,14.0,0,0,0,0,60.0,90.0,306.2
185,-477.0,655.1,162,6,103,29.3,118.3,9.0,10.0,11.0,0,0,0,0,30.0,60.0,566.0
186,-625.7,738.6,165,43,173,11.1,219.2,12.0,13.0,14.0,0,0,0,0,120.0,150.0,247.7
187,-146.9,168.1,146,7,131,20.3,80.0,3.0,4.0,5.0,0,0,0,0,90.0,120.0,885.1
188,-956.4,-915.8,148,1,69,26.2,205.4,12.0,13.0,14.0,0,0,0,0,60.0,90.0,2280.2
189,111.5,-922.4,186,4,209,10.7,78.1,9.0,10.0,11.0,0,0,0,0,90.0,120.0,859.8
190,-923.9,688.9,162,39,6,29.2,182.2,12.0,13.0,14.0,0,0,0,0,60.0,90.0,423.4
191,-4.0,-125.0,104,23,329,9.6,242.0,3.0,4.0,5.0,0,0,0,0,30.0,60.0,3419.5
192,303.1,-16.8,142,1,173,19.5,290.3,12.0,13.0,14.0,0,0,0,0,90.0,120.0,179.9
193,-837.4,631.5,187,24,121,5.0,197.1,6.0,7.0,8.0,0,0,0,0,120.0,150.0,405.2
194,-735.9,918.0,183,40,58,5.4,168.1,3.0,4.0,5.0,0,0,0,0,120.0,150.0,206.2
195,226.7,-775.7,142,15,359,20.4,7.5,6.0,7.0,8.0,0,0,0,0,90.0,120.0,128.5
196,952.9,-258.8,148,9,177,19.4,61.9,9.0,10.0,11.0,0,0,0,0,60.0,90.0,1444.7
197,-425.8,-244.5,182,36,288,13.9,26.6,12.0,13.0,14.0,0,0,0,0,120.0,150.0,121.4
198,-444.8,643.6,163,3,278,21.0,0.6,6.0,7.0,8.0,0,0,0,0,90.0,120.0,1337.3
199,487.7,-409.4,101,29,196,15.5,176.6,9.0,10.0,11.0,0,0,0,0,30.0,60.0,3126.0
200,-64.1,112.4,104,32,264,16.0,297.2,12.0,13.0,14.0,0,0,0,0,60.0,90.0,1886.4
201,-778.4,697.9,106,32,38,27.4,54.1,3.0,4.0,5.0,0,0,0,0,30.0,60.0,3419.5
202,-389.9,354.3,165,8,90,6.7,79.5,12.0,13.0,14.0,0,0,0,0,30.0,60.0,1573.2
203,704.6,-597.2,123,29,232,24.8,42.0,9.0,10.0,11.0,0,0,0,0,90.0,120.0,418.3
204,-58.4,292.6,104,0,283,22.9,130.7,3.0,4.0,5.0,0,0,0,0,60.0,90.0,2456.6
205,-889.9,-950.3,184,36,279,27.5,51.7,12.0,13.0,14.0,0,0,0,0,120.0,150.0,102.7
206,284.6,378.3,146,11,187,23.6,248.0,6.0,7.0,8.0,0,0,0,0,90.0,120.0,782.6
207,-767.6,4.1,164,31,28,25.2,300.9,12.0,13.0,14.0,0,0,0,0,60.0,90.0,0.2
208,205.9,684.9,101,11,269,20.8,48.7,12.0,13.0,14.0,0,0,0,0,120.0,150.0,4.9
209,-288.4,-280.9,181,30,357,17.2,56.3,6.0,7.0,8.0,0,0,0,0,120.0,150.0,191.0
210,721.1,-177.7,121,36,94,4.5,166.0,9.0,10.0,11.0,0,0,0,0,90.0,120.0,847.1
211,7.2,2.3,144,10,28,25.5,200.2,3.0,4.0,5.0,0,0,0,0,120.0,150.0,774.6
212,-404.1,523.0,105,45,3,10.3,143.4,12.0,13.0,14.0,0,0,0,0,90.0,120.0,2075.6
213,869.0,917.4,147,44,349,22.2,54.6,6.0,7.0,8.0,0,0,0,0,120.0,150.0,2200.8
214,-591.8,-543.7,201,39,349,13.6,90.0,9.0,10.0,11.0,0,0,0,0,120.0,150.0,407.9
215,452.4,753.4,104,13,349,19.7,5.4,6.0,7.0,8.0,0,0,0,0,120.0,150.0,416.1
216,-111.1,-912.4,163,6,69,25.0,27.6,12.0,13.0,14.0,0,0,0,0,90.0,120.0,403.9
217,485.2,-521.1,124,14,316,14.9,335.3,3.0,4.0,5.0,0,0,0,0,90.0,120.0,536.0
218,-803.9,-369.9,101,27,68,21.3,21.0,6.0,7.0,8.0,0,0,0,0,90.0,120.0,951.8
219,-141.9,-905.1,149,6,348,4.9,301.7,12.0,13.0,14.0,0,0,0,0,60.0,90.0,3418.6
220,212.6,-100.1,107,16,254,10.8,35.7,6.0,7.0,8.0,0,0,0,0,120.0,150.0,902.7
221,175.4,-664.5,145,5,180,12.7,77.2,6.0,7.0,8.0,0,0,0,0,120.0,150.0,1804.3
222,955.8,224.6,183,9,149,1.0,197.9,9.0,10.0,11.0,0,0,0,0,30.0,60.0,45.6
223,-807.6,-693.2,161,45,125,19.5,36.3,3.0,4.0,5.0,0,0,0,0,90.0,120.0,106.3
224,-69.5,-14.6,186,15,308,20.9,178.4,12.0,13.0,14.0,0,0,0,0,90.0,120.0,614.7
225,623.3,-449.0,146,43,261,15.0,323.4,6.0,7.0,8.0,0,0,0,0,90.0,120.0,586.5
226,-897.8,-943.3,123,28,196,13.0,328.3,3.0,4.0,5.0,0,0,0,0,90.0,120.0,988.3
227,185.3,342.9,147,7,68,8.0,346.1,9.0,10.0,11.0,0,0,0,0,120.0,150.0,2405.4
228,169.6,834.7,201,17,160,1.8,169.1,12.0,13.0,14.0,0,0,0,0,30.0,60.0,510.6
229,-847.2,-761.1,103,45,159,7.8,138.1,9.0,10.0,11.0,0,0,0,0,30.0,60.0,1597.9
230,-714.5,-475.3,147,21,99,16.0,49.9,6.0,7.0,8.0,0,0,0,0,30.0,60.0,981.9
231,929.1,332.5,164,35,211,12.9,245.1,6.0,7.0,8.0,0,0,0,0,120.0,150.0,464.4
232,-47.6,211.3,124,20,214,0.7,335.3,6.0,7.0,8.0,0,0,0,0,30.0,60.0,3419.5
233,803.6,-549.1,146,3,185,9.9,294.7,9.0,10.0,11.0,0,0,0,0,30.0,60.0,1890.8
234,25.8,-952.7,141,30,291,30.4,97.3,12.0,13.0,14.0,0,0,0,0,120.0,150.0,5.3
235,521.0,439.8,162,37,335,10.7,104.2,12.0,13.0,14.0,0,0,0,0,90.0,120.0,1720.9
236,-56.8,721.6,183,10,302,16.1,8.9,3.0,4.0,5.0,0,0,0,0,120.0,150.0,635.6
237,-348.3,-69.9,201,34,300,7.2,199.7,9.0,10.0,11.0,0,0,0,0,60.0,90.0,1014.8
238,836.8,676.6,123,11,269,6.8,253.5,12.0,13.0,14.0,0,0,0,0,120.0,150.0,161.0
239,787.9,779.9,143,7,325,11.0,107.1,12.0,13.0,14.0,0,0,0,0,90.0,120.0,718.6
240,-581.5,-452.9,164,11,116,16.1,101.6,6.0,7.0,8.0,0,0,0,0,60.0,90.0,981.4
