run,xign,yign,ws,wd,m1,m10,m100,lhc,lwc,firearea
9769,36.409259,-120.711631,23.0,9.0,12.0,13.0,14.0,120.0,150.0,
9770,41.944416,-121.008703,14.0,0.1,9.0,10.0,11.0,60.0,90.0,
9771,42.007795,-120.932813,26.6,274.5,6.0,7.0,8.0,120.0,150.0,
9772,41.813420,-122.171303,17.8,201.6,9.0,10.0,11.0,90.0,120.0,
9773,38.133582,-121.203770,12.7,239.3,6.0,7.0,8.0,120.0,150.0,
9774,37.478619,-121.919294,30.3,90.9,12.0,13.0,14.0,30.0,60.0,
9775,41.056225,-121.156715,3.3,131.8,6.0,7.0,8.0,120.0,150.0,
9776,39.715327,-121.028881,12.7,122.6,12.0,13.0,14.0,30.0,60.0,
9777,40.021404,-120.954806,12.5,316.4,9.0,10.0,11.0,120.0,150.0,
9778,40.983121,-120.970661,24.3,312.1,6.0,7.0,8.0,60.0,90.0,
9779,37.147923,-120.870292,5.9,230.6,12.0,13.0,14.0,90.0,120.0,
9780,41.574537,-121.409330,30.8,203.8,9.0,10.0,11.0,90.0,120.0,
9781,37.221031,-120.836173,24.0,113.7,6.0,7.0,8.0,60.0,90.0,
9782,39.776778,-121.003238,27.0,118.2,12.0,13.0,14.0,30.0,60.0,
9783,39.677313,-121.951228,16.4,70.8,12.0,13.0,14.0,60.0,90.0,
9784,38.576380,-121.498194,17.9,0.6,9.0,10.0,11.0,120.0,150.0,
9785,40.557347,-120.768099,1.8,347.2,3.0,4.0,5.0,90.0,120.0,
9786,37.536435,-121.758987,6.2,339.5,12.0,13.0,14.0,30.0,60.0,
9787,40.122312,-122.143955,25.8,257.4,12.0,13.0,14.0,60.0,90.0,
9788,38.026055,-121.931004,2.1,55.6,3.0,4.0,5.0,120.0,150.0,
9789,36.961579,-121.102486,31.0,172.6,6.0,7.0,8.0,90.0,120.0,
9790,41.581638,-121.278237,27.3,342.6,9.0,10.0,11.0,90.0,120.0,
9791,38.844779,-120.563902,15.0,318.6,6.0,7.0,8.0,60.0,90.0,
9792,40.908713,-120.804471,4.6,296.3,12.0,13.0,14.0,60.0,90.0,
9793,40.138966,-121.860240,1.7,187.7,12.0,13.0,14.0,120.0,150.0,
9794,37.218033,-122.240168,4.4,64.1,9.0,10.0,11.0,120.0,150.0,
9795,38.522862,-122.242735,27.4,185.0,9.0,10.0,11.0,120.0,150.0,
9796,38.736349,-121.182464,23.2,308.9,12.0,13.0,14.0,90.0,120.0,
9797,41.488127,-120.655287,6.8,284.6,12.0,13.0,14.0,30.0,60.0,
9798,41.600222,-120.974808,14.2,176.0,3.0,4.0,5.0,30.0,60.0,
9799,41.866800,-121.780130,23.3,326.7,6.0,7.0,8.0,60.0,90.0,
9800,40.533684,-121.946426,17.9,144.6,3.0,4.0,5.0,60.0,90.0,
9801,36.877086,-121.313105,9.3,36.4,6.0,7.0,8.0,120.0,150.0,
9802,36.574852,-121.251099,30.3,135.3,12.0,13.0,14.0,120.0,150.0,
9803,38.158340,-120.782796,4.3,247.5,6.0,7.0,8.0,120.0,150.0,
9804,37.330553,-121.509281,2.5,63.3,9.0,10.0,11.0,30.0,60.0,
9805,41.181278,-120.807728,0.8,160.3,9.0,10.0,11.0,90.0,120.0,
9806,42.181314,-121.902108,23.2,51.2,9.0,10.0,11.0,30.0,60.0,
9807,37.678879,-121.188953,22.8,131.9,6.0,7.0,8.0,90.0,120.0,
9808,42.055085,-121.307616,27.2,21.4,6.0,7.0,8.0,30.0,60.0,
9809,40.989990,-122.058868,14.3,279.3,9.0,10.0,11.0,60.0,90.0,
9810,39.235222,-121.628375,7.4,211.4,12.0,13.0,14.0,120.0,150.0,
9811,41.647498,-122.298276,3.8,46.5,6.0,7.0,8.0,90.0,120.0,
9812,36.520354,-121.654836,11.3,266.4,6.0,7.0,8.0,30.0,60.0,
9813,41.306924,-121.510665,22.5,60.6,9.0,10.0,11.0,60.0,90.0,
9814,37.592142,-121.768405,23.4,244.7,9.0,10.0,11.0,120.0,150.0,
9815,40.330782,-120.928799,29.6,34.2,9.0,10.0,11.0,90.0,120.0,
9816,40.554785,-121.628383,22.5,26.3,12.0,13.0,14.0,60.0,90.0,
9817,41.445285,-121.120463,6.4,6.9,9.0,10.0,11.0,60.0,90.0,
9818,42.149712,-120.684344,12.9,243.6,6.0,7.0,8.0,60.0,90.0,
9819,39.136254,-121.509356,10.9,51.8,6.0,7.0,8.0,30.0,60.0,
9820,36.845922,-122.115892,14.1,226.7,9.0,10.0,11.0,30.0,60.0,
9821,39.207852,-120.530409,23.4,269.7,9.0,10.0,11.0,90.0,120.0,
9822,37.035182,-122.092673,18.4,210.5,9.0,10.0,11.0,90.0,120.0,
9823,41.305957,-120.782851,12.1,109.6,9.0,10.0,11.0,120.0,150.0,
9824,40.635031,-121.131215,27.3,53.1,6.0,7.0,8.0,60.0,90.0,
9825,37.535899,-120.681423,7.8,240.4,12.0,13.0,14.0,30.0,60.0,
9826,40.604993,-122.114990,13.8,139.7,3.0,4.0,5.0,60.0,90.0,
9827,40.039097,-122.209601,3.6,6.2,12.0,13.0,14.0,60.0,90.0,
9828,40.190655,-120.623506,15.3,22.8,12.0,13.0,14.0,90.0,120.0,
9829,42.085961,-122.278580,26.7,333.6,3.0,4.0,5.0,90.0,120.0,
9830,40.019620,-120.638847,24.5,90.5,9.0,10.0,11.0,120.0,150.0,
9831,38.404168,-121.526010,12.9,42.6,6.0,7.0,8.0,60.0,90.0,
9832,41.256810,-121.721396,15.9,354.0,12.0,13.0,14.0,60.0,90.0,
9833,38.481314,-122.262789,4.2,153.4,3.0,4.0,5.0,60.0,90.0,
9834,40.809426,-120.906723,27.8,71.3,3.0,4.0,5.0,30.0,60.0,
9835,38.037553,-122.002458,28.0,107.9,12.0,13.0,14.0,60.0,90.0,
9836,42.112026,-122.213315,8.8,176.4,12.0,13.0,14.0,30.0,60.0,
9837,41.846596,-121.345817,27.4,14.9,9.0,10.0,11.0,60.0,90.0,
9838,41.834434,-121.127004,4.5,168.3,3.0,4.0,5.0,60.0,90.0,
9839,41.426372,-121.077171,20.5,61.5,12.0,13.0,14.0,60.0,90.0,
9840,38.058116,-121.496919,17.4,59.2,12.0,13.0,14.0,30.0,60.0,
9841,38.118379,-121.820486,21.9,38.1,6.0,7.0,8.0,60.0,90.0,
9842,40.733238,-120.679751,24.0,294.5,6.0,7.0,8.0,90.0,120.0,
9843,37.214895,-121.149870,7.9,347.5,12.0,13.0,14.0,90.0,120.0,
9844,41.224117,-120.742428,19.4,67.1,6.0,7.0,8.0,60.0,90.0,
9845,39.631135,-121.794748,28.1,188.1,9.0,10.0,11.0,30.0,60.0,
9846,41.933970,-121.509441,0.3,232.0,9.0,10.0,11.0,30.0,60.0,
9847,39.787218,-121.242248,30.2,176.2,12.0,13.0,14.0,120.0,150.0,
9848,40.817516,-121.781836,26.2,106.1,6.0,7.0,8.0,120.0,150.0,
9849,40.144968,-121.233621,3.2,39.5,3.0,4.0,5.0,90.0,120.0,
9850,40.340796,-121.608881,19.5,118.0,9.0,10.0,11.0,120.0,150.0,
9851,38.431419,-121.847255,25.0,281.8,12.0,13.0,14.0,90.0,120.0,
9852,37.730070,-121.190646,11.9,99.2,6.0,7.0,8.0,30.0,60.0,
9853,37.470025,-120.515441,20.7,146.4,12.0,13.0,14.0,120.0,150.0,
9854,41.968615,-120.888923,1.1,290.4,9.0,10.0,11.0,120.0,150.0,
9855,40.447602,-120.724640,0.1,147.9,6.0,7.0,8.0,90.0,120.0,
9856,37.252503,-121.098575,25.3,172.1,9.0,10.0,11.0,120.0,150.0,
9857,41.285059,-121.158823,1.3,242.5,6.0,7.0,8.0,60.0,90.0,
9858,39.275652,-120.720823,19.2,178.8,6.0,7.0,8.0,90.0,120.0,
9859,41.362895,-120.559763,11.0,185.8,9.0,10.0,11.0,120.0,150.0,
9860,41.124710,-122.158590,29.2,319.9,6.0,7.0,8.0,90.0,120.0,
9861,39.086707,-121.245414,28.0,265.2,6.0,7.0,8.0,30.0,60.0,
9862,39.724004,-121.251523,15.0,190.9,12.0,13.0,14.0,60.0,90.0,
9863,39.074143,-120.711666,19.3,212.4,12.0,13.0,14.0,30.0,60.0,
9864,36.687718,-121.196900,10.3,171.2,9.0,10.0,11.0,60.0,90.0,
9865,38.350717,-122.129451,17.5,153.1,12.0,13.0,14.0,30.0,60.0,
9866,41.222802,-120.531063,12.5,277.6,6.0,7.0,8.0,90.0,120.0,
9867,36.698829,-121.264789,6.3,120.9,9.0,10.0,11.0,30.0,60.0,
9868,39.205742,-121.512328,8.5,10.1,6.0,7.0,8.0,90.0,120.0,
9869,41.238256,-120.981834,0.1,166.7,6.0,7.0,8.0,120.0,150.0,
9870,39.998604,-120.816664,28.1,24.7,3.0,4.0,5.0,90.0,120.0,
9871,39.292723,-120.596172,12.7,72.1,6.0,7.0,8.0,90.0,120.0,
9872,39.390272,-121.879680,2.8,119.1,12.0,13.0,14.0,90.0,120.0,
9873,38.805943,-121.143119,23.4,238.6,12.0,13.0,14.0,90.0,120.0,
9874,37.996546,-121.746751,12.9,320.2,6.0,7.0,8.0,30.0,60.0,
9875,40.448739,-121.792667,21.9,118.0,12.0,13.0,14.0,30.0,60.0,
9876,40.408368,-120.574827,28.6,253.0,3.0,4.0,5.0,30.0,60.0,
9877,37.933399,-121.362158,24.1,94.6,6.0,7.0,8.0,90.0,120.0,
9878,36.970267,-121.428875,26.1,36.4,9.0,10.0,11.0,30.0,60.0,
9879,36.849571,-120.810912,21.7,15.1,9.0,10.0,11.0,60.0,90.0,
9880,39.565215,-121.071336,16.2,353.7,6.0,7.0,8.0,120.0,150.0,
9881,38.723289,-120.517169,3.3,85.5,6.0,7.0,8.0,60.0,90.0,
9882,36.337929,-120.550375,19.9,110.2,6.0,7.0,8.0,120.0,150.0,
9883,40.801391,-122.234549,30.5,181.4,3.0,4.0,5.0,120.0,150.0,
9884,37.014893,-121.751641,6.2,104.2,9.0,10.0,11.0,60.0,90.0,
9885,37.631631,-121.333899,21.2,73.5,9.0,10.0,11.0,90.0,120.0,
9886,40.501344,-120.809238,23.7,62.0,6.0,7.0,8.0,60.0,90.0,
9887,41.247915,-121.297383,28.3,308.0,3.0,4.0,5.0,120.0,150.0,
9888,38.755546,-121.354553,12.9,220.5,9.0,10.0,11.0,120.0,150.0,
9889,39.867768,-120.522678,14.0,242.6,6.0,7.0,8.0,60.0,90.0,
9890,39.346393,-120.690909,28.6,95.0,3.0,4.0,5.0,60.0,90.0,
9891,39.185168,-121.182702,0.6,108.3,9.0,10.0,11.0,30.0,60.0,
9892,39.888957,-121.864803,30.6,221.2,9.0,10.0,11.0,120.0,150.0,
9893,41.724835,-121.312909,28.0,95.4,3.0,4.0,5.0,60.0,90.0,
9894,38.327458,-121.977785,19.6,71.7,6.0,7.0,8.0,30.0,60.0,
9895,36.943065,-122.267137,3.7,238.5,12.0,13.0,14.0,120.0,150.0,
9896,40.596798,-122.124214,4.3,295.0,3.0,4.0,5.0,30.0,60.0,
9897,41.376343,-120.596641,30.5,312.3,9.0,10.0,11.0,120.0,150.0,
9898,38.498981,-121.531063,11.4,223.4,3.0,4.0,5.0,60.0,90.0,
9899,41.593994,-121.086657,18.4,6.9,3.0,4.0,5.0,30.0,60.0,
9900,38.567672,-121.746034,3.9,149.2,3.0,4.0,5.0,30.0,60.0,
9901,39.197160,-121.047983,1.3,316.0,9.0,10.0,11.0,30.0,60.0,
9902,38.913651,-120.613734,0.4,358.3,6.0,7.0,8.0,60.0,90.0,
9903,37.718083,-121.319251,5.4,188.6,3.0,4.0,5.0,60.0,90.0,
9904,41.143028,-122.120169,8.7,297.6,3.0,4.0,5.0,90.0,120.0,
9905,41.633246,-121.447775,7.9,251.8,9.0,10.0,11.0,90.0,120.0,
9906,39.301509,-121.288285,17.3,15.1,3.0,4.0,5.0,60.0,90.0,
9907,40.669875,-121.827662,8.0,269.8,9.0,10.0,11.0,30.0,60.0,
9908,39.982162,-121.544738,25.8,113.2,3.0,4.0,5.0,60.0,90.0,
9909,39.766456,-121.930273,2.0,222.5,9.0,10.0,11.0,30.0,60.0,
9910,41.268590,-120.548763,15.1,50.1,9.0,10.0,11.0,90.0,120.0,
9911,38.763857,-121.680612,11.9,307.6,3.0,4.0,5.0,90.0,120.0,
9912,39.699904,-121.772244,12.9,178.6,6.0,7.0,8.0,90.0,120.0,
9913,40.445058,-122.055020,12.6,174.4,12.0,13.0,14.0,90.0,120.0,
9914,38.859826,-120.734205,14.4,87.3,12.0,13.0,14.0,120.0,150.0,
9915,41.383602,-121.120021,2.9,35.3,9.0,10.0,11.0,30.0,60.0,
9916,41.299008,-120.895641,29.3,58.2,9.0,10.0,11.0,120.0,150.0,
9917,36.892438,-121.100592,11.8,58.0,3.0,4.0,5.0,90.0,120.0,
9918,40.232464,-121.111271,12.0,264.0,12.0,13.0,14.0,60.0,90.0,
9919,37.393182,-121.929373,3.3,34.0,9.0,10.0,11.0,60.0,90.0,
9920,39.351384,-121.756062,1.4,219.7,12.0,13.0,14.0,60.0,90.0,
9921,39.243421,-120.848072,19.6,124.0,3.0,4.0,5.0,90.0,120.0,
9922,37.802262,-120.881363,18.9,251.9,3.0,4.0,5.0,60.0,90.0,
9923,36.997134,-121.866230,19.2,159.7,9.0,10.0,11.0,30.0,60.0,
9924,38.489770,-120.708237,30.1,316.0,9.0,10.0,11.0,120.0,150.0,
9925,36.588475,-121.888623,15.1,118.4,3.0,4.0,5.0,120.0,150.0,
9926,37.418371,-121.734063,13.3,239.9,12.0,13.0,14.0,90.0,120.0,
9927,40.681847,-120.793570,0.5,49.2,3.0,4.0,5.0,30.0,60.0,
9928,41.647303,-120.999107,21.8,357.0,6.0,7.0,8.0,60.0,90.0,
9929,36.633829,-121.050730,21.0,229.4,9.0,10.0,11.0,30.0,60.0,
9930,36.933708,-120.953309,19.2,319.9,6.0,7.0,8.0,30.0,60.0,
9931,42.040382,-121.921723,11.7,311.6,3.0,4.0,5.0,120.0,150.0,
9932,41.791161,-121.929612,16.6,282.8,6.0,7.0,8.0,90.0,120.0,
9933,38.340653,-121.600902,13.3,204.4,3.0,4.0,5.0,60.0,90.0,
9934,42.015014,-121.510680,17.1,164.3,6.0,7.0,8.0,90.0,120.0,
9935,42.187122,-122.029131,19.4,359.4,3.0,4.0,5.0,30.0,60.0,
9936,37.563032,-122.249962,27.9,254.2,6.0,7.0,8.0,90.0,120.0,
9937,40.312541,-122.124502,26.7,111.9,12.0,13.0,14.0,60.0,90.0,
9938,39.192730,-121.875740,15.8,127.8,6.0,7.0,8.0,30.0,60.0,
9939,41.966562,-121.596537,11.4,47.5,6.0,7.0,8.0,120.0,150.0,
9940,40.946025,-121.472868,22.3,50.4,3.0,4.0,5.0,60.0,90.0,
9941,40.392605,-120.780812,27.3,233.6,3.0,4.0,5.0,90.0,120.0,
9942,40.995301,-120.907540,12.6,233.4,12.0,13.0,14.0,120.0,150.0,
9943,38.974505,-120.746186,9.9,100.9,3.0,4.0,5.0,60.0,90.0,
9944,38.014052,-121.256404,11.1,159.5,6.0,7.0,8.0,90.0,120.0,
9945,39.442769,-121.010158,22.9,129.4,12.0,13.0,14.0,90.0,120.0,
9946,38.350819,-121.526635,8.2,9.3,12.0,13.0,14.0,30.0,60.0,
9947,38.771544,-121.136183,23.5,270.4,12.0,13.0,14.0,120.0,150.0,
9948,41.525948,-120.770639,21.0,56.7,9.0,10.0,11.0,30.0,60.0,
9949,37.677512,-121.890185,10.9,240.6,6.0,7.0,8.0,30.0,60.0,
9950,37.470884,-121.388004,19.4,59.4,6.0,7.0,8.0,120.0,150.0,
9951,38.192262,-122.247933,21.9,195.2,6.0,7.0,8.0,90.0,120.0,
9952,40.858157,-121.070599,29.4,258.8,12.0,13.0,14.0,60.0,90.0,
9953,38.544612,-121.702973,9.0,93.3,12.0,13.0,14.0,120.0,150.0,
9954,41.708276,-121.216230,3.6,296.5,6.0,7.0,8.0,90.0,120.0,
9955,42.148733,-121.389828,5.8,85.5,12.0,13.0,14.0,90.0,120.0,
9956,37.909993,-122.217950,11.9,77.3,12.0,13.0,14.0,30.0,60.0,
9957,36.524208,-121.808198,18.3,290.7,9.0,10.0,11.0,60.0,90.0,
9958,40.085309,-120.838432,6.9,96.8,9.0,10.0,11.0,120.0,150.0,
9959,38.139130,-121.355022,28.3,270.9,12.0,13.0,14.0,60.0,90.0,
9960,36.484418,-121.856103,8.8,167.7,6.0,7.0,8.0,120.0,150.0,
9961,40.509447,-121.526039,19.8,242.6,9.0,10.0,11.0,120.0,150.0,
9962,37.018017,-120.812089,13.5,308.6,6.0,7.0,8.0,120.0,150.0,
9963,40.761066,-121.991194,13.2,86.7,12.0,13.0,14.0,120.0,150.0,
9964,38.521212,-121.533367,7.6,9.8,9.0,10.0,11.0,120.0,150.0,
9965,37.091554,-120.612583,4.2,127.7,6.0,7.0,8.0,30.0,60.0,
9966,41.090624,-120.765906,6.3,43.2,12.0,13.0,14.0,30.0,60.0,
9967,36.395266,-121.358743,17.7,203.7,9.0,10.0,11.0,30.0,60.0,
9968,41.078451,-121.496802,25.0,73.3,9.0,10.0,11.0,30.0,60.0,
9969,37.689313,-121.569822,8.3,29.8,3.0,4.0,5.0,30.0,60.0,
9970,41.016083,-121.500390,14.7,108.7,9.0,10.0,11.0,60.0,90.0,
9971,39.499152,-121.680171,8.5,239.6,6.0,7.0,8.0,120.0,150.0,
9972,40.892816,-122.098518,21.0,52.4,12.0,13.0,14.0,90.0,120.0,
9973,41.885014,-120.999282,9.3,72.8,6.0,7.0,8.0,30.0,60.0,
9974,40.700288,-121.173976,19.9,338.4,6.0,7.0,8.0,30.0,60.0,
9975,37.638373,-121.544965,14.0,30.1,3.0,4.0,5.0,90.0,120.0,
9976,38.880935,-120.874877,6.2,102.3,3.0,4.0,5.0,90.0,120.0,
9977,36.302214,-121.796368,30.1,222.7,6.0,7.0,8.0,90.0,120.0,
9978,41.501418,-120.564061,13.8,249.5,3.0,4.0,5.0,90.0,120.0,
9979,42.016864,-120.969899,30.2,224.9,3.0,4.0,5.0,90.0,120.0,
9980,39.009381,-120.691189,3.3,63.6,3.0,4.0,5.0,60.0,90.0,
9981,40.504639,-120.585609,26.8,23.2,12.0,13.0,14.0,120.0,150.0,
9982,39.306542,-121.043232,7.1,149.8,9.0,10.0,11.0,90.0,120.0,
9983,39.882409,-122.042065,26.9,94.0,9.0,10.0,11.0,30.0,60.0,
9984,37.509707,-121.797904,3.8,280.5,3.0,4.0,5.0,30.0,60.0,
9985,40.819219,-121.442298,5.3,209.4,9.0,10.0,11.0,60.0,90.0,
9986,40.016358,-121.340699,8.1,142.8,6.0,7.0,8.0,90.0,120.0,
9987,38.130599,-121.510505,4.1,171.0,6.0,7.0,8.0,30.0,60.0,
9988,36.674356,-121.214961,0.6,240.3,12.0,13.0,14.0,30.0,60.0,
9989,38.162120,-122.226735,2.5,270.1,6.0,7.0,8.0,90.0,120.0,
9990,41.873747,-121.017859,24.9,237.0,6.0,7.0,8.0,90.0,120.0,
9991,40.877229,-120.914552,21.5,86.7,3.0,4.0,5.0,30.0,60.0,
9992,36.660606,-121.407812,1.2,20.9,12.0,13.0,14.0,60.0,90.0,
9993,41.749036,-121.396695,28.8,15.7,3.0,4.0,5.0,30.0,60.0,
9994,36.475377,-122.134925,23.0,214.0,9.0,10.0,11.0,60.0,90.0,
9995,37.945984,-121.018013,18.2,196.8,6.0,7.0,8.0,90.0,120.0,
9996,39.489298,-121.615058,0.1,333.9,12.0,13.0,14.0,30.0,60.0,
9997,39.597004,-121.517459,1.6,159.9,6.0,7.0,8.0,30.0,60.0,
9998,39.348356,-121.982230,19.8,304.0,9.0,10.0,11.0,90.0,120.0,
9999,40.632727,-121.319833,14.1,317.2,6.0,7.0,8.0,120.0,150.0,
10000,36.917464,-122.126163,1.7,260.5,12.0,13.0,14.0,30.0,60.0,
10001,37.794784,-121.998037,4.0,14.5,12.0,13.0,14.0,30.0,60.0,
10002,38.823608,-120.892803,21.2,106.8,9.0,10.0,11.0,30.0,60.0,
10003,41.531786,-122.139858,14.9,205.4,9.0,10.0,11.0,90.0,120.0,
10004,37.926329,-121.912259,29.5,314.4,12.0,13.0,14.0,30.0,60.0,
10005,38.277218,-121.532208,17.3,233.7,3.0,4.0,5.0,30.0,60.0,
10006,39.723495,-121.565108,20.5,147.2,6.0,7.0,8.0,30.0,60.0,
10007,39.913053,-120.954133,29.8,203.3,3.0,4.0,5.0,120.0,150.0,
10008,40.544004,-121.402411,10.6,99.0,3.0,4.0,5.0,90.0,120.0,
10009,40.577755,-121.595059,16.8,28.5,6.0,7.0,8.0,30.0,60.0,
10010,41.516603,-121.804192,28.6,77.0,12.0,13.0,14.0,60.0,90.0,
10011,40.008352,-121.370573,10.4,49.1,9.0,10.0,11.0,30.0,60.0,
10012,39.357853,-121.441513,24.1,88.7,12.0,13.0,14.0,60.0,90.0,
10013,38.991051,-120.989678,8.9,68.5,9.0,10.0,11.0,90.0,120.0,
10014,36.517831,-120.663166,12.6,128.3,3.0,4.0,5.0,90.0,120.0,
10015,37.162887,-120.710582,19.4,240.1,3.0,4.0,5.0,90.0,120.0,
10016,40.228919,-121.550450,24.9,49.8,12.0,13.0,14.0,90.0,120.0,
10017,38.405655,-120.679335,20.1,81.7,3.0,4.0,5.0,60.0,90.0,
10018,41.294964,-121.207865,3.6,319.7,3.0,4.0,5.0,90.0,120.0,
10019,40.165225,-121.297129,2.9,246.5,12.0,13.0,14.0,90.0,120.0,
10020,41.605352,-121.275000,25.9,250.8,6.0,7.0,8.0,90.0,120.0,
10021,39.079681,-121.957111,18.0,288.4,6.0,7.0,8.0,120.0,150.0,
10022,37.645475,-121.260962,9.6,345.0,3.0,4.0,5.0,30.0,60.0,
10023,40.623947,-121.956889,4.4,50.5,6.0,7.0,8.0,60.0,90.0,
10024,38.934321,-121.003724,0.8,72.3,12.0,13.0,14.0,60.0,90.0,
10025,36.599234,-121.352203,14.8,349.2,6.0,7.0,8.0,90.0,120.0,
10026,42.165393,-121.131494,5.8,235.5,12.0,13.0,14.0,60.0,90.0,
10027,37.270439,-121.931179,9.0,284.9,3.0,4.0,5.0,90.0,120.0,
10028,40.240411,-120.558036,4.6,142.5,3.0,4.0,5.0,30.0,60.0,
10029,37.183987,-121.534322,11.9,214.5,12.0,13.0,14.0,120.0,150.0,
10030,40.226882,-120.965885,17.2,256.0,6.0,7.0,8.0,90.0,120.0,
10031,38.646790,-120.844213,6.2,42.9,6.0,7.0,8.0,90.0,120.0,
10032,42.098981,-120.541044,28.0,69.9,6.0,7.0,8.0,120.0,150.0,
10033,37.828570,-121.800791,24.9,53.1,3.0,4.0,5.0,90.0,120.0,
10034,41.999730,-120.853948,21.2,87.9,12.0,13.0,14.0,120.0,150.0,
10035,41.125366,-120.684741,13.7,176.6,3.0,4.0,5.0,90.0,120.0,
